GeographicAreaName,unem_rate_2010,unem_rate_2018
Adair County,4.5,3.5
Adams County,2.9,2.8
Allamakee County,5.6,2.5
Appanoose County,10.7,5.4
Audubon County,3.6,2.5
Benton County,4.7,2.9
Black Hawk County,6.9,4.5
Boone County,4.5,3.8
Bremer County,5,3.2
Buchanan County,4.7,3
Buena Vista County,4.2,5.3
Butler County,4.3,3.3
Calhoun County,3.5,2.2
Carroll County,2.7,2.1
Cass County,4.6,2.4
Cedar County,3.7,2.7
Cerro Gordo County,5.7,4.1
Cherokee County,4,2.3
Chickasaw County,5.9,1.9
Clarke County,4.9,3.2
Clay County ,4.9,3.6
Clayton County,5.3,2.1
Clinton County,6.7,4.4
Crawford County,4.6,7
Dallas County ,3.5,2.4
Davis County,6.9,2.8
Decatur County,4.7,4.4
Delaware County,4.5,2.3
Des Moines County,7.9,5.3
Dickinson County,6.4,2.8
Dubuque County,4.8,4.1
Emmet County,4.2,3.3
Fayette County,5,3.4
Floyd County,6.1,2.5
Franklin County,4,3.9
Fremont County,5,3.7
Greene County,4.4,5.3
Grundy County,2.8,2.1
Guthrie County,3.6,3.4
Hamilton County,4.2,3
Hancock County,5.9,1.9
Hardin County,5.2,1.8
Harrison County,4.8,1.5
Henry County,5.7,5.2
Howard County,4,2.5
Humboldt County,3.8,3.7
Ida County,3.5,4.2
Iowa County,3.4,2.7
Jackson County,3.7,4.3
Jasper County,5.5,4.9
Jefferson County,5.4,6.7
Johnson County,4.2,3.3
Jones County,4.2,3.8
Keokuk County,4.4,4.9
Kossuth County,3,3.1
Lee County,7.1,7.2
Linn County,5,3.5
Louisa County,8.3,5.1
Lucas County,10.9,4.9
Lyon County,2.7,2
Madison County,4.2,4
Mahaska County,6.3,5.3
Marion County,5.1,3
Marshall County,7,5.1
Mills County,4.2,3.8
Mitchell County,4.5,3.1
Monona County,5.9,3.1
Monroe County,6.7,5.9
Montgomery County,7.5,6.8
Muscatine County,8.1,2.4
O'Brien County,3.3,2.2
Osceola County,2.9,2.5
Page County,4.6,4.3
Palo Alto County,5.8,1.1
Plymouth County,2.8,2.3
Pocahontas County,4.5,3.2
Polk County,5.4,4.3
Pottawattamie County,6.5,4.3
Poweshiek County,5.3,4.6
Ringgold County,4.7,4.4
Sac County,3.6,3
Scott County,5.5,4.2
Shelby County,4.3,3.2
Sioux County,2.5,2.6
Story County ,4.9,4.3
Tama County ,5.5,3.8
Taylor County ,4.3,3.7
Union County ,5.4,5.2
Van Buren County ,6.4,4.7
Wapello County ,7.9,6.4
Warren County ,3.8,3.3
Washington County ,4.5,4.2
Wayne County ,9.4,2.3
Webster County ,7.3,4.5
Winnebago County ,4.6,4.6
Winneshiek County ,3.9,1.9
Woodbury County ,6.2,4.7
Worth County ,5.6,4.7
Wright County,5,5.4
